property_id,address,city,state,bedrooms,bathrooms,square_feet,lot_size,year_built,price,property_type,garage_spaces
HP001,123 Oak Street,Austin,TX,3,2,1850,0.25,2015,425000,Single Family,2
HP002,456 Pine Avenue,Denver,CO,4,3,2400,0.35,2018,580000,Single Family,2
HP003,789 Maple Drive,Seattle,WA,2,2,1200,0.15,2020,650000,Condo,1
HP004,321 Elm Street,Phoenix,AZ,5,4,3200,0.45,2012,520000,Single Family,3
HP005,654 Cedar Lane,Portland,OR,3,2,1600,0.20,2019,475000,Townhouse,1
HP006,987 Birch Road,Nashville,TN,4,3,2200,0.30,2016,385000,Single Family,2
HP007,147 Willow Way,Raleigh,NC,3,2,1750,0.28,2017,350000,Single Family,2
HP008,258 Spruce Court,Salt Lake City,UT,2,1,950,0.12,2021,320000,Condo,1
HP009,369 Aspen Place,Boulder,CO,4,3,2600,0.40,2014,720000,Single Family,2
HP010,741 Redwood Drive,San Antonio,TX,3,2,1900,0.32,2013,295000,Single Family,2
HP011,852 Cypress Street,Charlotte,NC,5,4,3100,0.50,2011,445000,Single Family,3
HP012,963 Hickory Lane,Kansas City,MO,3,2,1650,0.25,2018,275000,Single Family,2
HP013,159 Magnolia Avenue,Atlanta,GA,4,3,2300,0.35,2016,395000,Single Family,2
HP014,267 Dogwood Circle,Richmond,VA,2,2,1100,0.18,2020,285000,Townhouse,1
HP015,378 Sycamore Drive,Tampa,FL,3,2,1800,0.22,2015,365000,Single Family,2
HP016,489 Chestnut Road,Louisville,KY,4,3,2500,0.38,2017,325000,Single Family,2
HP017,591 Walnut Street,Oklahoma City,OK,3,2,1700,0.30,2019,245000,Single Family,2
HP018,612 Pecan Lane,Memphis,TN,5,4,2900,0.42,2014,315000,Single Family,3
HP019,723 Poplar Avenue,Birmingham,AL,3,2,1550,0.26,2018,225000,Single Family,2
